Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	-38.974213	3.704982	-6.180079	-51.971966	-35.683292	0.60198843	-35.060894	-37.046875	10.035176	10.0	83999	-36.09253	39.36923	74.44511	-617.7331	-36.092976	39.368866	76.59919	-628.39575	0.31418872	3.6412644	33.319126	-15.815107	34.335663	13.382503	23241.1930873394
22	-38.564304	3.0518506	-28.71331	-50.596077	-34.98294	0.5566551	-34.13739	-36.19109	10.032581	10.0	87999	-35.40413	38.466785	96.99675	-591.14685	-35.403263	38.468872	101.273636	-580.94275	0.2558058	3.6577518	32.447235	-13.339535	33.727383	13.552613	24386.236970186234
23	-38.41038	3.2778459	-15.1598425	-52.43261	-32.837486	0.2672564	-32.265457	-33.261093	10.045226	10.0	91999	-35.067894	38.691326	101.60988	-607.00635	-35.06732	38.69234	96.87274	-610.5361	0.26909623	3.6470683	33.32126	-14.800549	33.38633	13.56904	25540.65460395813
24	-37.997494	2.6913393	-28.601324	-47.90084	-35.718914	0.36175153	-35.113583	-36.192604	10.02005	10.0	95999	-34.162918	36.608734	101.239174	-623.00244	-34.16262	36.607555	103.76478	-625.6249	0.2438662	3.6018276	31.428783	-14.586089	32.53844	12.376904	26686.29413294792
25	-38.23028	3.1717784	-26.63863	-54.57097	-32.813545	0.39564338	-32.349163	-33.657185	10.045113	10.0	99999	-33.553593	34.916748	104.98157	-610.91284	-33.55271	34.919056	105.391365	-598.7105	0.14185748	3.6178484	33.866135	-13.632141	31.968378	11.787457	27842.687799692154
26	-37.89871	3.593605	-4.518546	-58.752544	-34.405926	0.5232441	-33.802074	-35.70921	10.017544	10.0	103999	-32.99214	34.066578	111.857346	-598.0396	-32.99141	34.062283	116.42933	-583.2071	0.06499817	3.6288478	31.676453	-13.787469	31.468187	11.557709	28995.95236849785
27	-38.076897	3.548827	-10.7239275	-54.071587	-34.144283	0.41356564	-33.517933	-35.12474	10.042713	10.0	107999	-32.73972	33.60336	113.70636	-576.37463	-32.739056	33.604908	114.61732	-560.40924	0.055485502	3.6083486	32.58355	-14.3503475	31.234852	11.254157	30147.288353681564
28	-37.505096	3.1182535	-24.77957	-53.438454	-34.467186	0.55598766	-33.19057	-35.389626	10.088161	10.0	111999	-32.399624	33.505875	83.137764	-576.0527	-32.398777	33.505264	82.32464	-589.8383	-0.039846722	3.5433836	38.58492	-13.606872	30.949223	11.464896	31290.700555086136
29	-37.291485	3.3190615	-6.1452546	-53.919464	-34.43595	0.5729372	-33.67211	-35.639984	10.050251	10.0	115999	-32.07086	33.756058	134.30905	-606.44147	-32.070045	33.754787	128.97687	-603.9812	0.016054302	3.588241	35.293236	-13.034874	30.658947	11.748336	32437.398967266083
30	-37.427464	3.405873	-5.8507104	-50.16314	-33.267006	0.4716578	-32.685535	-34.213238	10.057935	10.0	119999	-31.764297	33.237762	113.87346	-552.181	-31.763735	33.237812	105.03294	-549.4047	-0.033652134	3.5921924	37.357983	-13.593855	30.380465	11.296513	33577.189895153046
