Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	8390.727	1726.4973	9578.994	811.85156	6682.0127	153.75967	6784.5933	6444.2285	60.439392	61.0	83999	3127.5332	1576.2499	4983.111	-867.6156	3127.7817	1576.0984	4972.161	-1017.10236	19.660322	10.161991	216.18365	-2.5848432	-3247.7886	19376.383	15243.609888076782
22	6899.2183	1663.8258	9561.02	603.1887	8118.646	162.93411	8463.387	7858.2397	60.590908	60.4	87999	3497.2588	1496.6248	5283.733	-1966.2596	3497.271	1497.6384	5250.6323	-1931.615	19.453634	9.545186	164.09525	-2.0531528	-3609.4985	36861.34	15933.188116312027
23	8879.413	1069.7311	9557.964	3965.3267	9542.411	0.23655298	9542.665	9541.997	60.272728	60.0	91999	3561.5156	1762.4081	5520.3726	-1946.8407	3561.5044	1762.3174	5527.075	-1994.2555	19.257557	9.022656	209.42775	-3.9800363	-3674.4094	17692.348	16620.14992260933
24	9164.253	1032.1195	9560.527	2298.984	9508.822	0.40285802	9509.449	9508.105	60.044777	60.0	95999	3766.8674	1807.0417	6724.3223	-1601.2236	3766.8513	1806.9095	6934.5464	-1609.3927	20.086678	10.112525	164.22827	-0.20068169	-3889.395	21212.535	17307.341888427734
25	1114.0413	3096.7573	9532.143	-1150.6335	-547.2833	47.45226	-502.56342	-609.87585	31.062016	22.2	99999	4348.1426	2011.7041	9389.381	-3185.7393	4348.1045	2011.5167	9324.316	-3087.7405	24.908167	13.813839	219.84338	-0.32855225	-4548.352	36497.496	18040.92827296257
26	-489.89307	803.00543	2964.1208	-1461.6024	-706.69226	12.522857	-689.9304	-727.6634	41.822918	61.0	103999	4604.3003	2510.054	8958.34	-3458.315	4604.3066	2509.6912	8948.067	-3555.1423	20.810278	9.182091	145.26129	-0.017891645	-4759.913	36673.723	18771.063322544098
27	3213.1362	2774.4805	7495.27	-667.905	6546.618	204.61374	6870.91	6285.313	59.671642	60.0	107999	4125.7637	2292.3447	7574.9263	-1874.15	4125.7515	2292.3442	7611.263	-1731.6927	20.339472	8.106252	157.02606	-0.044060707	-4265.1074	20348.95	19462.585604190826
28	8865.242	1162.0251	9568.937	5437.7505	9529.746	0.70172864	9530.595	9528.627	60.015152	60.0	111999	3810.2717	2067.1936	6495.895	-1328.8789	3810.2612	2067.0894	6517.215	-1424.331	19.506248	7.1045423	120.17558	0.3842759	-3924.8123	14732.647	20151.57488679886
29	9081.531	926.9544	9554.241	5976.2505	9543.791	0.5356217	9544.792	9543.03	60.014927	60.0	115999	3771.044	2022.6168	5946.289	-1121.9275	3771.04	2022.3684	5920.1797	-1128.8344	19.326078	6.3664393	152.13223	0.5093689	-3884.6384	13196.823	20843.083515167236
30	9347.811	736.94324	9556.688	5455.9653	9543.254	0.6788514	9544.153	9542.244	60.0	60.0	119999	3882.0256	2104.7297	6176.6084	-841.55347	3882.0188	2104.6492	6173.4785	-854.86285	19.105724	5.819739	130.78659	-2.0111513	-3994.4238	12022.548	21532.817415475845
