Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	-219.47588	21.815722	-169.98882	-426.92123	-202.61484	3.8939567	-199.66125	-214.11969	17.025532	17.0	83999	-200.09734	104.67103	51.102818	-1679.6956	-200.09663	104.67475	35.150837	-1625.0668	3.9631152	3.291306	42.1195	-16.951729	197.10205	78.05566	18554.345482110977
22	-217.37218	19.331997	-179.17125	-382.79263	-213.92163	8.357148	-196.06107	-225.80956	17.042734	17.0	87999	-197.33736	101.36779	41.77561	-1651.3104	-197.33643	101.36487	38.726128	-1694.8955	3.9004087	3.2878997	38.74235	-11.936435	194.42561	75.28014	19442.39446091652
23	-215.26785	14.452922	-179.56578	-262.07532	-182.25168	10.573058	-166.66997	-199.69424	17.076595	17.0	91999	-195.24854	100.14793	42.280636	-1614.7772	-195.24794	100.149185	46.737637	-1624.6704	3.8937042	3.313394	43.881943	-11.679057	192.35518	74.825	20330.997676849365
24	-215.38539	25.308945	-158.3491	-477.26694	-199.72084	9.826331	-188.70483	-219.25351	17.107296	17.0	95999	-193.68834	98.58928	43.249737	-1594.1849	-193.68687	98.58939	43.173157	-1645.5922	3.8136313	3.3403802	40.21996	-11.428201	190.86665	71.763275	21216.758289575577
25	-214.51765	14.083966	-167.50671	-257.14505	-203.15689	7.3743973	-194.50366	-211.99765	17.094017	17.0	99999	-191.52815	96.2842	29.972115	-1574.4955	-191.52673	96.2851	36.631	-1602.3104	3.715413	3.3088436	45.066853	-13.08144	188.77867	69.4728	22104.11611199379
26	-211.2738	15.86654	-161.57123	-251.57082	-210.61606	9.30089	-182.77232	-214.4552	17.055319	17.0	103999	-190.12962	94.91399	-3.1009755	-1635.7233	-190.12968	94.90899	16.726385	-1625.9313	3.7154605	3.294707	34.853516	-12.701234	187.48497	67.96738	22994.127804517746
27	-208.99545	18.11571	-156.49211	-364.8624	-210.35324	4.785025	-196.84282	-214.52519	17.00851	17.0	107999	-188.43504	93.40541	23.635021	-1586.2528	-188.43433	93.402336	56.94629	-1588.589	3.62091	3.2641003	38.935116	-13.906126	185.8025	65.53537	23883.023274183273
28	-209.47096	15.175628	-163.4969	-278.0583	-180.1315	8.303959	-160.2543	-197.24931	17.017021	17.0	111999	-186.5077	91.95545	39.999012	-1644.6394	-186.50752	91.95708	59.561653	-1636.559	3.5161617	3.2827919	44.618065	-11.809321	183.92484	63.945236	24772.011230945587
29	-206.92757	14.36828	-159.97362	-240.16351	-185.35068	4.764692	-182.71132	-199.53181	17.004255	17.0	115999	-185.62978	91.86798	-2.7086549	-1678.1971	-185.62904	91.87117	6.815425	-1690.9886	3.5680428	3.3071582	37.89578	-12.555503	183.12509	64.6117	25660.474231243134
30	-209.12569	13.660641	-160.6629	-261.34946	-209.29407	5.971494	-200.16837	-215.1433	17.029787	17.0	119999	-184.51144	90.90546	19.153078	-1692.0405	-184.5108	90.90192	57.984657	-1664.5192	3.4683838	3.3121686	42.305756	-15.859064	182.0059	65.97104	26549.77620100975
31	-207.51286	14.05644	-162.72815	-243.81668	-215.13318	4.4560976	-202.22096	-218.19836	17.034042	17.0	123999	-183.01926	89.510635	24.376871	-1645.803	-183.01852	89.50336	75.464386	-1659.3744	3.427851	3.2981954	41.29369	-13.709112	180.56357	63.934998	27439.033106565475
32	-206.7448	14.789695	-161.5525	-284.5568	-218.42874	3.2576613	-208.87605	-220.287	17.025532	17.0	127999	-181.73335	86.8579	45.674538	-1631.1097	-181.73305	86.85722	88.49406	-1617.598	3.3839366	3.305958	43.721363	-12.43922	179.29652	60.89945	28328.937509536743
33	-207.4599	16.620451	-159.39783	-287.5119	-198.0802	13.0183935	-174.26314	-208.54082	17.025532	17.0	131999	-180.8528	87.61204	32.950962	-1628.5941	-180.8524	87.60727	14.575313	-1638.2196	3.3660357	3.297345	36.199684	-13.106283	178.5079	57.624725	29219.01136445999
34	-207.76645	15.938675	-153.33112	-331.77704	-197.29271	6.4437604	-190.2551	-205.3551	17.017021	17.0	135999	-179.67487	85.15963	42.694984	-1670.2471	-179.67322	85.16219	23.226137	-1659.4896	3.2169688	3.2887063	37.08261	-14.083117	177.35855	56.367924	30107.255855560303
35	-201.53601	20.438478	-164.51875	-401.9825	-197.34758	9.24421	-175.73529	-205.64468	17.017021	17.0	139999	-179.11021	86.411316	108.97896	-1601.0981	-179.1102	86.408356	58.85858	-1600.6527	3.2716627	3.2902656	37.53301	-13.452117	176.83362	54.574455	30996.622270822525
36	-202.18788	15.590659	-162.07373	-256.59558	-175.88632	4.5085063	-173.54105	-189.30891	17.004255	17.0	143999	-177.7754	82.83492	42.55533	-1626.9812	-177.77458	82.83168	36.54308	-1619.6477	3.1664793	3.286888	37.641182	-12.51875	175.5219	55.835384	31885.190639972687
37	-198.73814	15.002623	-155.07948	-235.73114	-184.74393	7.630118	-177.8231	-197.47423	17.012766	17.0	147999	-177.346	84.21383	35.922276	-1703.9286	-177.34547	84.213974	96.31829	-1707.1221	3.2201872	3.2938688	39.630848	-11.973374	175.13773	54.9747	32772.53660655022
38	-198.88861	15.193132	-156.3078	-235.95677	-200.69551	13.546368	-184.40105	-214.07489	17.004238	17.0	151999	-176.5194	81.83849	63.902943	-1767.4045	-176.51894	81.83482	2.3460119	-1765.5697	3.1267848	3.377681	43.125645	-14.62324	174.34085	56.756844	33663.465760707855
39	-196.62746	16.011723	-150.60034	-289.79437	-202.34915	7.161916	-186.06668	-213.23624	16.987234	17.0	155999	-175.37434	81.89546	83.64543	-1749.4705	-175.37427	81.897224	36.963314	-1683.8767	3.1517844	3.359793	37.39137	-15.017813	173.13911	53.10569	34552.276773929596
40	-196.527	14.626795	-159.24893	-242.38394	-201.43854	10.50648	-177.64534	-210.78835	17.012766	17.0	159999	-174.11116	80.08158	37.464664	-1699.4736	-174.11095	80.08299	12.517726	-1704.1697	3.1061528	3.3540068	40.840958	-17.340136	171.8873	53.632023	35441.17403125763
